Date,Actual,Forecast
2017-02-01,120.0,
2017-02-02,119.0,
2017-02-03,118.0,
2017-02-04,117.0,
2017-02-05,116.0,
2017-02-06,115.0,
2017-02-07,114.0,
2017-02-08,113.0,
2017-02-09,112.0,
2017-02-10,111.0,
2017-02-11,110.0,
2017-02-12,109.0,
2017-02-13,108.0,
2017-02-14,107.0,
2017-02-15,106.0,
2017-02-16,105.0,
2017-02-17,104.0,
2017-02-18,103.0,
2017-02-19,102.0,
2017-02-20,101.0,
2017-02-21,100.0,
2017-02-22,99.0,
2017-02-23,98.0,
2017-02-24,97.0,
2017-02-25,96.0,
2017-02-26,95.0,
2017-02-27,94.0,
2017-02-28,93.0,
2017-03-01,92.0,
2017-03-02,91.0,
2017-03-03,90.0,
2017-03-04,89.0,
2017-03-05,88.0,
2017-03-06,87.0,
2017-03-07,120.0,
2017-03-08,119.0,
2017-03-09,118.0,
2017-03-10,117.0,
2017-03-11,116.0,
2017-03-12,115.0,
2017-03-13,114.0,
2017-03-14,113.0,
2017-03-15,112.0,
2017-03-16,111.0,
2017-03-17,110.0,
2017-03-18,109.0,
2017-03-19,108.0,
2017-03-20,107.0,
2017-03-21,106.0,
2017-03-22,105.0,
2017-03-23,104.0,
2017-03-24,103.0,
2017-03-25,102.0,
2017-03-26,101.0,
2017-03-27,100.0,
2017-03-28,99.0,
2017-03-29,98.0,
2017-03-30,97.0,
2017-03-31,96.0,
2017-04-01,95.0,
2017-04-02,94.0,
2017-04-03,93.0,
2017-04-04,92.0,
2017-04-05,91.0,
2017-04-06,90.0,
2017-04-07,89.0,
2017-04-08,88.0,
2017-04-09,87.0,
2017-04-10,86.0,
2017-04-11,85.0,
2017-04-12,84.0,
2017-04-13,83.0,
2017-04-14,82.0,
2017-04-15,81.0,
2017-04-16,80.0,
2017-04-17,79.0,
2017-04-18,78.0,
2017-04-19,77.0,
2017-04-20,76.0,
2017-04-21,75.0,
2017-04-22,74.0,
2017-04-23,73.0,
2017-04-24,72.0,
2017-04-25,71.0,
2017-04-26,70.0,
2017-04-27,69.0,
2017-04-28,68.0,
2017-04-29,67.0,
2017-04-30,66.0,
2017-05-01,65.0,
2017-05-02,64.0,
2017-05-03,63.0,
2017-05-04,62.0,
2017-05-05,61.0,
2017-05-06,60.0,
2017-05-07,59.0,
2017-05-08,58.0,
2017-05-09,57.0,
2017-05-10,56.0,
2017-05-11,55.0,
2017-05-12,54.0,
2017-05-13,53.0,
2017-05-14,52.0,
2017-05-15,51.0,
2017-05-16,50.0,
2017-05-17,49.0,
2017-05-18,48.0,
2017-05-19,47.0,
2017-05-20,46.0,
2017-05-21,45.0,
2017-05-22,44.0,
2017-05-23,43.0,
2017-05-24,42.0,
2017-05-25,41.0,
2017-05-26,40.0,
2017-05-27,39.0,
2017-05-28,38.0,
2017-05-29,37.0,
2017-05-30,36.0,
2017-05-31,35.0,
2017-06-01,120.0,
2017-06-02,119.0,
2017-06-03,118.0,
2017-06-04,117.0,
2017-06-05,116.0,
2017-06-06,115.0,
2017-06-07,114.0,
2017-06-08,113.0,
2017-06-09,112.0,
2017-06-10,111.0,
2017-06-11,110.0,
2017-06-12,109.0,
2017-06-13,108.0,
2017-06-14,107.0,
2017-06-15,106.0,
2017-06-16,105.0,
2017-06-17,104.0,
2017-06-18,103.0,
2017-06-19,102.0,
2017-06-20,101.0,
2017-06-21,100.0,
2017-06-22,99.0,
2017-06-23,98.0,
2017-06-24,97.0,
2017-06-25,96.0,
2017-06-26,95.0,
2017-06-27,94.0,
2017-06-28,93.0,
2017-06-29,92.0,
2017-06-30,91.0,
2017-07-01,90.0,
2017-07-02,89.0,
2017-07-03,88.0,
2017-07-04,87.0,
2017-07-05,86.0,
2017-07-06,85.0,
2017-07-07,84.0,
2017-07-08,83.0,
2017-07-09,82.0,
2017-07-10,81.0,
2017-07-11,80.0,
2017-07-12,79.0,
2017-07-13,78.0,
2017-07-14,77.0,
2017-07-15,76.0,
2017-07-16,75.0,
2017-07-17,74.0,
2017-07-18,73.0,
2017-07-19,72.0,
2017-07-20,71.0,
2017-07-21,70.0,
2017-07-22,69.0,
2017-07-23,68.0,
2017-07-24,67.0,
2017-07-25,66.0,
2017-07-26,65.0,
2017-07-27,64.0,
2017-07-28,63.0,
2017-07-29,62.0,
2017-07-30,61.0,
2017-07-31,60.0,
2017-08-01,59.0,
2017-08-02,58.0,
2017-08-03,57.0,
2017-08-04,56.0,
2017-08-05,55.0,
2017-08-06,54.0,
2017-08-07,53.0,
2017-08-08,52.0,
2017-08-09,51.0,
2017-08-10,120.0,
2017-08-11,119.0,
2017-08-12,118.0,
2017-08-13,117.0,
2017-08-14,116.0,
2017-08-15,115.0,
2017-08-16,114.0,
2017-08-17,113.0,
2017-08-18,112.0,
2017-08-19,111.0,
2017-08-20,110.0,
2017-08-21,109.0,
2017-08-22,108.0,
2017-08-23,107.0,
2017-08-24,106.0,
2017-08-25,105.0,
2017-08-26,104.0,
2017-08-27,103.0,
2017-08-28,102.0,
2017-08-29,101.0,
2017-08-30,100.0,
2017-08-31,99.0,
2017-09-01,98.0,
2017-09-02,97.0,
2017-09-03,96.0,
2017-09-04,95.0,
2017-09-05,94.0,
2017-09-06,93.0,
2017-09-07,92.0,
2017-09-08,91.0,
2017-09-09,90.0,
2017-09-10,89.0,
2017-09-11,88.0,
2017-09-12,87.0,
2017-09-13,86.0,
2017-09-14,85.0,
2017-09-15,84.0,
2017-09-16,83.0,
2017-09-17,82.0,
2017-09-18,81.0,
2017-09-19,80.0,
2017-09-20,79.0,
2017-09-21,78.0,
2017-09-22,77.0,
2017-09-23,76.0,
2017-09-24,75.0,
2017-09-25,74.0,
2017-09-26,73.0,
2017-09-27,72.0,
2017-09-28,71.0,
2017-09-29,70.0,
2017-09-30,69.0,
2017-10-01,68.0,
2017-10-02,67.0,
2017-10-03,66.0,
2017-10-04,65.0,
2017-10-05,64.0,
2017-10-06,63.0,
2017-10-07,62.0,
2017-10-08,61.0,
2017-10-09,60.0,
2017-10-10,59.0,
2017-10-11,58.0,
2017-10-12,57.0,
2017-10-13,56.0,
2017-10-14,55.0,
2017-10-15,54.0,
2017-10-16,53.0,
2017-10-17,52.0,
2017-10-18,51.0,
2017-10-19,50.0,
2017-10-20,49.0,
2017-10-21,48.0,
2017-10-22,47.0,
2017-10-23,46.0,
2017-10-24,45.0,
2017-10-25,44.0,
2017-10-26,43.0,
2017-10-27,42.0,
2017-10-28,41.0,
2017-10-29,40.0,
2017-10-30,39.0,
2017-10-31,38.0,
2017-11-01,37.0,
2017-11-02,36.0,
2017-11-03,35.0,
2017-11-04,34.0,
2017-11-05,33.0,
2017-11-06,32.0,
2017-11-07,31.0,
2017-11-08,30.0,
2017-11-09,29.0,
2017-11-10,28.0,
2017-11-11,27.0,
2017-11-12,26.0,
2017-11-13,25.0,
2017-11-14,24.0,
2017-11-15,23.0,
2017-11-16,22.0,
2017-11-17,21.0,
2017-11-18,20.0,
2017-11-19,19.0,
2017-11-20,18.0,
2017-11-21,17.0,
2017-11-22,16.0,
2017-11-23,15.0,
2017-11-24,14.0,
2017-11-25,13.0,
2017-11-26,12.0,
2017-11-27,11.0,
2017-11-28,10.0,
2017-11-29,9.0,
2017-11-30,8.0,
2017-12-01,120.0,
2017-12-02,120.0,
2017-12-03,119.0,
2017-12-04,118.0,
2017-12-05,117.0,
2017-12-06,116.0,
2017-12-07,115.0,
2017-12-08,114.0,
2017-12-09,113.0,
2017-12-10,112.0,
2017-12-11,111.0,
2017-12-12,110.0,
2017-12-13,109.0,
2017-12-14,108.0,
2017-12-15,107.0,
2017-12-16,106.0,
2017-12-17,105.0,
2017-12-18,104.0,
2017-12-19,103.0,
2017-12-20,102.0,
2017-12-21,101.0,
2017-12-22,100.0,
2017-12-23,99.0,
2017-12-24,98.0,
2017-12-25,97.0,
2017-12-26,96.0,
2017-12-27,95.0,
2017-12-28,94.0,
2017-12-29,93.0,
2017-12-30,92.0,
2017-12-31,91.0,
2018-01-01,90.0,
2018-01-02,89.0,
2018-01-03,88.0,
2018-01-04,87.0,
2018-01-05,86.0,
2018-01-06,85.0,
2018-01-07,84.0,
2018-01-08,83.0,
2018-01-09,82.0,
2018-01-10,81.0,
2018-01-11,80.0,
2018-01-12,79.0,
2018-01-13,78.0,
2018-01-14,77.0,
2018-01-15,76.0,
2018-01-16,75.0,
2018-01-17,74.0,
2018-01-18,73.0,
2018-01-19,72.0,
2018-01-20,71.0,
2018-01-21,70.0,
2018-01-22,69.0,
2018-01-23,68.0,
2018-01-24,67.0,
2018-01-25,66.0,
2018-01-26,65.0,
2018-01-27,64.0,
2018-01-28,63.0,
2018-01-29,62.0,
2018-01-30,61.0,
2018-01-31,60.0,
2018-02-01,59.0,
2018-02-02,58.0,
2018-02-03,57.0,
2018-02-04,56.0,
2018-02-05,55.0,
2018-02-06,54.0,
2018-02-07,53.0,
2018-02-08,52.0,
2018-02-09,51.0,
2018-02-10,50.0,
2018-02-11,49.0,
2018-02-12,48.0,
2018-02-13,47.0,
2018-02-14,46.0,
2018-02-15,45.0,
2018-02-16,44.0,
2018-02-17,43.0,
2018-02-18,42.0,
2018-02-19,41.0,
2018-02-20,40.0,
2018-02-21,39.0,
2018-02-22,38.0,
2018-02-23,37.0,
2018-02-24,36.0,
2018-02-25,35.0,
2018-02-26,34.0,
2018-02-27,33.0,
2018-02-28,32.0,
2018-03-01,31.0,
2018-03-02,30.0,
2018-03-03,29.0,
2018-03-04,28.0,
2018-03-05,27.0,
2018-03-06,26.0,
2018-03-07,25.0,
2018-03-08,24.0,
2018-03-09,23.0,
2018-03-10,22.0,
2018-03-11,21.0,
2018-03-12,20.0,
2018-03-13,19.0,
2018-03-14,18.0,
2018-03-15,17.0,
2018-03-16,16.0,
2018-03-17,15.0,
2018-03-18,14.0,
2018-03-19,13.0,
2018-03-20,12.0,
2018-03-21,11.0,
2018-03-22,10.0,
2018-03-23,9.0,
2018-03-24,8.0,
2018-03-25,7.0,
2018-03-26,6.0,
2018-03-27,5.0,
2018-03-28,4.0,
2018-03-29,3.0,
2018-03-30,2.0,
2018-03-31,1.0,
2018-04-01,0.0,
2018-04-02,-1.0,
2018-04-03,120.0,
2018-04-04,119.0,
2018-04-05,118.0,
2018-04-06,117.0,
2018-04-07,116.0,
2018-04-08,115.0,
2018-04-09,114.0,
2018-04-10,113.0,
2018-04-11,112.0,
2018-04-12,111.0,
2018-04-13,110.0,
2018-04-14,109.0,
2018-04-15,108.0,
2018-04-16,107.0,
2018-04-17,106.0,
2018-04-18,105.0,
2018-04-19,104.0,
2018-04-20,103.0,
2018-04-21,102.0,
2018-04-22,101.0,
2018-04-23,100.0,
2018-04-24,99.0,
2018-04-25,98.0,
2018-04-26,97.0,
2018-04-27,96.0,
2018-04-28,95.0,
2018-04-29,94.0,
2018-04-30,93.0,
2018-05-01,92.0,
2018-05-02,91.0,
2018-05-03,90.0,
2018-05-04,89.0,
2018-05-05,88.0,
2018-05-06,87.0,
2018-05-07,86.0,
2018-05-08,85.0,
2018-05-09,84.0,
2018-05-10,83.0,
2018-05-11,82.0,
2018-05-12,81.0,
2018-05-13,80.0,
2018-05-14,79.0,
2018-05-15,78.0,
2018-05-16,77.0,
2018-05-17,76.0,
2018-05-18,75.0,
2018-05-19,74.0,
2018-05-20,73.0,
2018-05-21,72.0,
2018-05-22,71.0,
2018-05-23,70.0,
2018-05-24,69.0,
2018-05-25,68.0,
2018-05-26,67.0,
2018-05-27,66.0,
2018-05-28,65.0,
2018-05-29,64.0,
2018-05-30,63.0,
2018-05-31,62.0,
2018-06-01,61.0,
2018-06-02,60.0,
2018-06-03,59.0,
2018-06-04,58.0,
2018-06-05,57.0,
2018-06-06,56.0,
2018-06-07,55.0,
2018-06-08,54.0,
2018-06-09,53.0,
2018-06-10,52.0,
2018-06-11,51.0,
2018-06-12,50.0,
2018-06-13,49.0,
2018-06-14,48.0,
2018-06-15,47.0,
2018-06-16,46.0,
2018-06-17,45.0,
2018-06-18,44.0,
2018-06-19,43.0,
2018-06-20,42.0,
2018-06-21,41.0,
2018-06-22,40.0,
2018-06-23,39.0,
2018-06-24,38.0,
2018-06-25,37.0,
2018-06-26,36.0,
2018-06-27,35.0,
2018-06-28,34.0,
2018-06-29,33.0,
2018-06-30,32.0,
2018-07-01,31.0,
2018-07-02,30.0,
2018-07-03,29.0,
2018-07-04,28.0,
2018-07-05,27.0,
2018-07-06,26.0,
2018-07-07,25.0,
2018-07-08,24.0,
2018-07-09,23.0,
2018-07-10,22.0,
2018-07-11,21.0,
2018-07-12,20.0,
2018-07-13,19.0,
2018-07-14,18.0,
2018-07-15,17.0,
2018-07-16,16.0,
2018-07-17,15.0,
2018-07-18,14.0,
2018-07-19,13.0,
2018-07-20,12.0,
2018-07-21,11.0,
2018-07-22,10.0,
2018-07-23,9.0,
2018-07-24,8.0,
2018-07-25,7.0,
2018-07-26,6.0,
2018-07-27,5.0,
2018-07-28,4.0,
2018-07-29,3.0,
2018-07-30,2.0,
2018-07-31,1.0,
2018-08-01,0.0,
2018-08-02,-1.0,
2018-08-03,-2.0,
2018-08-04,120.0,
2018-08-05,119.0,
2018-08-06,118.0,
2018-08-07,117.0,
2018-08-08,116.0,
2018-08-09,115.0,
2018-08-10,114.0,
2018-08-11,113.0,
2018-08-12,112.0,
2018-08-13,111.0,
2018-08-14,110.0,
2018-08-15,109.0,
2018-08-16,108.0,
2018-08-17,107.0,
2018-08-18,106.0,
2018-08-19,105.0,
2018-08-20,104.0,
2018-08-21,103.0,
2018-08-22,102.0,
2018-08-23,101.0,
2018-08-24,100.0,
2018-08-25,99.0,
2018-08-26,98.0,
2018-08-27,97.0,
2018-08-28,96.0,
2018-08-29,95.0,
2018-08-30,94.0,
2018-08-31,93.0,
2018-09-01,92.0,
2018-09-02,91.0,
2018-09-03,90.0,
2018-09-04,120.0,
2018-09-05,119.0,
2018-09-06,118.0,
2018-09-07,117.0,
2018-09-08,116.0,
2018-09-09,115.0,
2018-09-10,114.0,
2018-09-11,113.0,
2018-09-12,112.0,
2018-09-13,111.0,
2018-09-14,110.0,
2018-09-15,109.0,
2018-09-16,108.0,
2018-09-17,107.0,
2018-09-18,106.0,
2018-09-19,105.0,
2018-09-20,104.0,
2018-09-21,103.0,
2018-09-22,102.0,
2018-09-23,101.0,
2018-09-24,100.0,
2018-09-25,99.0,
2018-09-26,98.0,
2018-09-27,97.0,
2018-09-28,96.0,
2018-09-29,95.0,
2018-09-30,94.0,
2018-10-01,93.0,
2018-10-02,92.0,
2018-10-03,91.0,
2018-10-04,90.0,
2018-10-05,89.0,
2018-10-06,88.0,
2018-10-07,87.0,
2018-10-08,86.0,
2018-10-09,85.0,
2018-10-10,84.0,
2018-10-11,83.0,
2018-10-12,82.0,
2018-10-13,81.0,
2018-10-14,80.0,
2018-10-15,79.0,
2018-10-16,78.0,
2018-10-17,77.0,
2018-10-18,76.0,
2018-10-19,75.0,
2018-10-20,74.0,
2018-10-21,73.0,
2018-10-22,72.0,
2018-10-23,71.0,
2018-10-24,70.0,
2018-10-25,69.0,
2018-10-26,68.0,
2018-10-27,67.0,
2018-10-28,66.0,
2018-10-29,65.0,
2018-10-30,64.0,
2018-10-31,63.0,
2018-11-01,62.0,
2018-11-02,61.0,
2018-11-03,60.0,
2018-11-04,59.0,
2018-11-05,58.0,
2018-11-06,57.0,
2018-11-07,56.0,
2018-11-08,55.0,
2018-11-09,54.0,
2018-11-10,53.0,
2018-11-11,52.0,
2018-11-12,51.0,
2018-11-13,50.0,
2018-11-14,49.0,
2018-11-15,48.0,
2018-11-16,47.0,
2018-11-17,46.0,
2018-11-18,45.0,
2018-11-19,44.0,
2018-11-20,43.0,
2018-11-21,42.0,
2018-11-22,41.0,
2018-11-23,40.0,
2018-11-24,39.0,
2018-11-25,38.0,
2018-11-26,37.0,
2018-11-27,36.0,
2018-11-28,35.0,
2018-11-29,34.0,
2018-11-30,33.0,
2018-12-01,32.0,
2018-12-02,31.0,
2018-12-03,30.0,
2018-12-04,29.0,
2018-12-05,28.0,
2018-12-06,27.0,
2018-12-07,26.0,
2018-12-08,25.0,
2018-12-09,24.0,
2018-12-10,23.0,
2018-12-11,22.0,
2018-12-12,21.0,
2018-12-13,20.0,
2018-12-14,19.0,
2018-12-15,18.0,
2018-12-16,17.0,
2018-12-17,16.0,
2018-12-18,15.0,
2018-12-19,14.0,
2018-12-20,13.0,
2018-12-21,12.0,
2018-12-22,11.0,
2018-12-23,10.0,
2018-12-24,9.0,
2018-12-25,8.0,
2018-12-26,7.0,
2018-12-27,6.0,
2018-12-28,5.0,
2018-12-29,4.0,
2018-12-30,3.0,
2018-12-31,2.0,
2019-01-01,1.0,
2019-01-02,0.0,
2019-01-03,120.0,
2019-01-04,119.0,
2019-01-05,118.0,
2019-01-06,117.0,
2019-01-07,116.0,
2019-01-08,115.0,
2019-01-09,114.0,
2019-01-10,113.0,
2019-01-11,112.0,
2019-01-12,111.0,
2019-01-13,110.0,
2019-01-14,109.0,
2019-01-15,108.0,
2019-01-16,107.0,
2019-01-17,106.0,
2019-01-18,105.0,
2019-01-19,104.0,
2019-01-20,103.0,
2019-01-21,102.0,
2019-01-22,101.0,
2019-01-23,100.0,
2019-01-24,99.0,
2019-01-25,98.0,
2019-01-26,97.0,
2019-01-27,96.0,
2019-01-28,95.0,
2019-01-29,94.0,
2019-01-30,93.0,
2019-01-31,92.0,
2019-02-01,91.0,
2019-02-02,90.0,
2019-02-03,89.0,
2019-02-04,120.0,
2019-02-05,119.0,
2019-02-06,118.0,
2019-02-07,117.0,
2019-02-08,116.0,
2019-02-09,115.0,
2019-02-10,114.0,
2019-02-11,113.0,
2019-02-12,112.0,
2019-02-13,111.0,
2019-02-14,110.0,
2019-02-15,109.0,
2019-02-16,108.0,
2019-02-17,107.0,
2019-02-18,106.0,
2019-02-19,105.0,
2019-02-20,104.0,
2019-02-21,103.0,
2019-02-22,102.0,
2019-02-23,101.0,
2019-02-24,100.0,
2019-02-25,99.0,
2019-02-26,98.0,
2019-02-27,97.0,
2019-02-28,96.0,
2019-03-01,95.0,
2019-03-02,94.0,
2019-03-03,93.0,
2019-03-04,92.0,
2019-03-05,91.0,
2019-03-06,90.0,
2019-03-07,89.0,
2019-03-08,88.0,
2019-03-09,87.0,
2019-03-10,86.0,
2019-03-11,85.0,
2019-03-12,84.0,
2019-03-13,83.0,
2019-03-14,82.0,
2019-03-15,81.0,
2019-03-16,80.0,
2019-03-17,79.0,
2019-03-18,78.0,
2019-03-19,77.0,
2019-03-20,76.0,
2019-03-21,75.0,
2019-03-22,74.0,
2019-03-23,73.0,
2019-03-24,72.0,
2019-03-25,71.0,
2019-03-26,70.0,
2019-03-27,69.0,
2019-03-28,68.0,
2019-03-29,67.0,
2019-03-30,66.0,
2019-03-31,65.0,
2019-04-01,64.0,
2019-04-02,63.0,
2019-04-03,62.0,
2019-04-04,61.0,
2019-04-05,60.0,
2019-04-06,59.0,
2019-04-07,58.0,
2019-04-08,57.0,
2019-04-09,56.0,
2019-04-10,55.0,
2019-04-11,54.0,
2019-04-12,53.0,
2019-04-13,52.0,
2019-04-14,51.0,
2019-04-15,50.0,
2019-04-16,49.0,
2019-04-17,48.0,
2019-04-18,47.0,
2019-04-19,46.0,
2019-04-20,45.0,
2019-04-21,44.0,
2019-04-22,43.0,
2019-04-23,42.0,
2019-04-24,41.0,
2019-04-25,40.0,
2019-04-26,39.0,
2019-04-27,38.0,
2019-04-28,37.0,
2019-04-29,36.0,
2019-04-30,35.0,
2019-05-01,34.0,
2019-05-02,33.0,
2019-05-03,32.0,
2019-05-04,31.0,
2019-05-05,30.0,
2019-05-06,29.0,
2019-05-07,28.0,
2019-05-08,27.0,
2019-05-09,26.0,
2019-05-10,25.0,
2019-05-11,24.0,
2019-05-12,23.0,
2019-05-13,22.0,
2019-05-14,21.0,
2019-05-15,20.0,
2019-05-16,19.0,
2019-05-17,18.0,
2019-05-18,17.0,
2019-05-19,16.0,
2019-05-20,15.0,
2019-05-21,14.0,
2019-05-22,13.0,
2019-05-23,12.0,
2019-05-24,11.0,
2019-05-25,10.0,
2019-05-26,9.0,
2019-05-27,8.0,
2019-05-28,7.0,
2019-05-29,6.0,
2019-05-30,5.0,
2019-05-31,4.0,
2019-06-01,3.0,
2019-06-02,2.0,
2019-06-03,1.0,
2019-06-04,0.0,
2019-06-05,-1.0,
2019-06-06,120.0,
2019-06-07,119.0,
2019-06-08,118.0,
